run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
reentrancy_only,HyperVul native MIL,mil_topk,46,interaction,high_recall,target_recall,0.484,0.030495552731893267,0.9230769230769231,0.043256997455470736,0.85,0.08232445520581114,0.17970401691331922,0.13789244790417496,0.8110846812559467,17,675,376,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,46,interaction,precision_focused,target_precision,0.838,0.10948905109489052,0.5769230769230769,0.11842105263157894,0.45,0.1875,0.28846153846153844,0.13789244790417496,0.8110846812559467,9,984,67,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,42,interaction,max_f1,max_f1,0.807,0.11594202898550725,0.6153846153846154,0.1111111111111111,0.5,0.1818181818181818,0.29411764705882354,0.15504843441393196,0.8067078972407231,10,971,80,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,42,interaction,high_recall,target_recall,0.334,0.03293807641633729,0.9615384615384616,0.03736263736263736,0.85,0.07157894736842105,0.1588785046728972,0.15504843441393196,0.8067078972407231,17,613,438,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,42,interaction,precision_focused,target_precision,0.807,0.11594202898550725,0.6153846153846154,0.1111111111111111,0.5,0.1818181818181818,0.29411764705882354,0.15504843441393196,0.8067078972407231,10,971,80,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,43,interaction,max_f1,max_f1,0.9380000000000001,0.13186813186813187,0.46153846153846156,0.1232876712328767,0.45,0.1935483870967742,0.29411764705882354,0.20720764602602587,0.8028068506184586,9,987,64,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,43,interaction,high_recall,target_recall,0.539,0.032552083333333336,0.9615384615384616,0.03680981595092025,0.9,0.0707269155206287,0.15817223198594027,0.20720764602602587,0.8028068506184586,18,580,471,2,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,43,interaction,precision_focused,target_precision,0.896,0.10526315789473684,0.6923076923076923,0.078125,0.5,0.13513513513513514,0.2403846153846154,0.20720764602602587,0.8028068506184586,10,933,118,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,44,interaction,max_f1,max_f1,0.876,0.375,0.11538461538461539,0.5,0.05,0.09090909090909091,0.06097560975609757,0.20269895534893465,0.7974785918173168,1,1050,1,19,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,44,interaction,high_recall,target_recall,0.12,0.034383954154727794,0.9230769230769231,0.03990610328638498,0.85,0.07623318385650224,0.16798418972332013,0.20269895534893465,0.7974785918173168,17,642,409,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,44,interaction,precision_focused,target_precision,0.421,0.09411764705882353,0.6153846153846154,0.07874015748031496,0.5,0.1360544217687075,0.24154589371980675,0.20269895534893465,0.7974785918173168,10,934,117,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,45,interaction,max_f1,max_f1,0.773,0.10884353741496598,0.6153846153846154,0.09,0.45,0.15,0.24999999999999997,0.19245293937178481,0.8129400570884873,9,960,91,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,45,interaction,high_recall,target_recall,0.218,0.03048780487804878,0.9615384615384616,0.036290322580645164,0.9,0.06976744186046512,0.15625000000000003,0.19245293937178481,0.8129400570884873,18,573,478,2,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,45,interaction,precision_focused,target_precision,0.979,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.19245293937178481,0.8129400570884873,0,1051,0,20,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,46,interaction,max_f1,max_f1,0.896,0.1262135922330097,0.5,0.125,0.3,0.17647058823529413,0.234375,0.19011806975669504,0.8055185537583254,6,1009,42,14,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,46,interaction,high_recall,target_recall,0.539,0.02981366459627329,0.9230769230769231,0.0405727923627685,0.85,0.0774487471526196,0.17034068136272545,0.19011806975669504,0.8055185537583254,17,649,402,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_attention,46,interaction,precision_focused,target_precision,0.96,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.19011806975669504,0.8055185537583254,0,1051,0,20,1071,20,1051
